market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR2613-T93249.99,KXBTCD,1745683260,2025-04-26T16:01:00+00:00,,,,,17,84,17,84,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745683320,2025-04-26T16:02:00+00:00,,,,,84,86,84,86,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745683620,2025-04-26T16:07:00+00:00,,,,,86,86,84,84,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745685120,2025-04-26T16:32:00+00:00,,,,,84,86,84,86,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745685540,2025-04-26T16:39:00+00:00,,,,,86,86,84,84,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745686500,2025-04-26T16:55:00+00:00,,,,,84,86,84,86,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745686560,2025-04-26T16:56:00+00:00,,,,,86,92,84,92,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745686620,2025-04-26T16:57:00+00:00,,,,,92,97,84,97,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745686680,2025-04-26T16:58:00+00:00,,,,,97,98,84,92,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745686740,2025-04-26T16:59:00+00:00,,,,,92,98,84,97,100,100,100,100,0,0
KXBTCD-25APR2613-T93249.99,KXBTCD,1745686800,2025-04-26T17:00:00+00:00,,,,,97,98,84,97,100,100,100,100,0,0
