1746057600000000,94172.00000000,94177.96000000,94130.43000000,94147.30000000,6.47436000,1746057659999999,609602.10184340,2480,3.84582000,362102.36813710,0
1746057660000000,94147.31000000,94190.47000000,94147.30000000,94187.02000000,3.97781000,1746057719999999,374634.24727720,1699,3.30124000,310910.73795360,0
1746057720000000,94187.01000000,94198.77000000,94187.01000000,94198.75000000,2.24103000,1746057779999999,211095.08234080,876,0.70811000,66699.57948070,0
1746057780000000,94198.75000000,94198.76000000,94169.45000000,94169.45000000,3.31848000,1746057839999999,312557.90036650,1295,0.23507000,22141.29163880,0
1746057840000000,94169.46000000,94238.10000000,94156.73000000,94238.09000000,7.51438000,1746057899999999,707738.62568410,2681,5.57400000,525013.00211320,0
1746057900000000,94238.09000000,94278.12000000,94221.40000000,94221.40000000,17.57883000,1746057959999999,1657050.19980740,2706,12.86127000,1212419.52742160,0
1746057960000000,94221.40000000,94248.49000000,94221.40000000,94231.71000000,6.25077000,1746058019999999,589043.33331100,1853,1.11897000,105439.28399700,0
1746058020000000,94231.71000000,94255.08000000,94181.43000000,94248.00000000,10.17593000,1746058079999999,958742.51882170,4216,5.57002000,524786.14927160,0
1746058080000000,94248.00000000,94285.72000000,94240.16000000,94285.71000000,12.36579000,1746058139999999,1165515.18987820,2324,8.93663000,842301.25256780,0
1746058140000000,94285.71000000,94304.00000000,94285.71000000,94303.99000000,3.65784000,1746058199999999,344918.11077830,1209,2.25845000,212963.31432390,0
1746058200000000,94303.99000000,94331.05000000,94303.99000000,94331.04000000,2.25848000,1746058259999999,213001.68490750,1063,1.39462000,131521.90041550,0
1746058260000000,94331.04000000,94344.91000000,94320.44000000,94344.91000000,17.25981000,1746058319999999,1628057.78374260,1583,15.32478000,1445525.82016900,0
1746058320000000,94344.91000000,94347.83000000,94315.24000000,94315.24000000,8.85991000,1746058379999999,835831.54346830,2025,1.50111000,141619.23339020,0
1746058380000000,94315.24000000,94337.96000000,94315.24000000,94331.46000000,8.14537000,1746058439999999,768345.13468790,1174,2.41151000,227454.70918060,0
1746058440000000,94331.46000000,94331.47000000,94269.00000000,94269.04000000,10.04533000,1746058499999999,947301.67094350,2214,3.38529000,319250.83776920,0
1746058500000000,94269.03000000,94314.04000000,94269.03000000,94314.04000000,3.61835000,1746058559999999,341168.32137000,1054,3.27048000,308363.90788680,0
1746058560000000,94314.03000000,94314.04000000,94268.89000000,94268.89000000,4.88164000,1746058619999999,460352.12276060,2600,0.19621000,18503.10137530,0
1746058620000000,94268.90000000,94268.90000000,94208.87000000,94208.88000000,6.23368000,1746058679999999,587442.31494080,3590,1.40415000,132291.47980300,0
1746058680000000,94208.88000000,94224.17000000,94208.86000000,94224.17000000,3.72290000,1746058739999999,350753.89547420,858,2.06547000,194591.72511740,0
1746058740000000,94224.16000000,94239.93000000,94224.16000000,94239.93000000,3.77737000,1746058799999999,355932.82368320,607,3.08360000,290559.93534040,0
1746058800000000,94239.93000000,94239.93000000,94229.20000000,94229.20000000,3.31425000,1746058859999999,312320.95506450,643,0.68416000,64471.42736000,0
1746058860000000,94229.21000000,94229.21000000,94186.79000000,94212.56000000,16.35680000,1746058919999999,1540726.98163840,2834,12.28492000,1157107.56085360,0
1746058920000000,94212.56000000,94231.31000000,94207.85000000,94231.31000000,3.48858000,1746058979999999,328677.98740910,1400,1.78326000,168011.72517570,0
1746058980000000,94231.31000000,94251.34000000,94231.30000000,94251.33000000,2.72875000,1746059039999999,257150.62495880,767,2.00500000,188945.26461530,0
